"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Dante Pettis","NO","4.0","46.4","0.2","2.1","9.7","0.0","0.0","6.8"
"Tyquan Thornton","KC","3.4","45.9","0.3","0.0","0.0","0.0","0.0","6.4"
"Tez Johnson","TB","4.0","49.3","0.2","0.0","0.0","0.0","0.0","6.3"
"Kendric Pryor","CIN","3.9","42.8","0.3","0.0","0.0","0.0","0.0","6.3"
"Trishton Jackson","ARI","3.4","40.7","0.3","0.0","0.0","0.0","0.0","6.1"
"Jordan Watkins","SF","2.6","32.7","0.1","4.4","15.8","0.1","0.0","6.0"
"Jonathan Mingo","DAL","3.9","48.6","0.2","0.0","0.0","0.0","0.0","5.9"
"Justin Watson","HOU","3.4","45.1","0.2","0.0","0.0","0.0","0.0","5.7"
"Charlie Jones","CIN","3.4","39.6","0.2","0.0","1.7","0.0","0.0","5.4"
"Jalen Brooks","DAL","3.4","39.4","0.2","0.0","0.0","0.0","0.0","5.4"
"Mecole Hardman Jr.","GB","4.4","50.3","0.3","0.0","3.0","0.0","1.0","5.2"
"Bryce Oliver","TEN","3.4","38.2","0.2","0.0","0.0","0.0","0.0","5.1"
"Dareke Young","SEA","3.3","37.7","0.2","0.0","0.0","0.0","0.0","5.0"
"Cody White","SEA","3.3","37.6","0.2","0.0","0.0","0.0","0.0","5.0"
"Austin Trammell","JAC","3.4","40.1","0.2","0.0","0.0","0.0","0.0","5.0"
"Xavier Gipson","NYJ","4.2","54.3","0.0","0.0","2.5","0.0","0.5","4.9"
"Britain Covey","LAR","1.8","21.0","0.1","2.2","13.7","0.1","0.0","4.8"
"Dee Eskridge","MIA","3.0","32.8","0.2","0.0","1.7","0.0","0.0","4.7"
"Miles Boykin","CHI","3.2","37.0","0.2","0.0","0.0","0.0","0.0","4.7"
"Lil'Jordan Humphrey","NYG","4.0","44.0","0.0","0.0","0.0","0.0","0.0","4.4"
"Brycen Tremayne","CAR","3.0","33.8","0.2","0.0","0.0","0.0","0.0","4.4"
"Ainias Smith","PHI","3.0","32.4","0.2","0.0","0.0","0.0","0.0","4.3"
"Scotty Miller","PIT","3.1","37.4","0.1","0.0","0.0","0.0","0.0","4.2"
"David Bell","CLE","4.0","42.0","0.0","0.0","0.0","0.0","0.0","4.2"
"Tyler Scott","CHI","2.8","30.1","0.1","0.0","1.7","0.0","0.0","4.0"
